"name","in","out"
"MMB.Kapitálové výdaje. Investiční nákupy a související výdaje. Pořízení dlouhodobého nehmotného majetku",0,-26722947.65
"MMB.Kapitálové výdaje. Investiční nákupy a související výdaje. Pozemky",2043125,-110827323
"MMB.Kapitálové výdaje. Investiční půjčené prostředky",0,-8879445
"MMB.Kapitálové výdaje. Investiční půjčené prostředky. Investiční půjčené prostředky obyvatelstvu",0,-8879445
"MMB.Kapitálové výdaje. Investiční transfery",29048989.48,-356516515.69
"MMB.Kapitálové výdaje. Investiční transfery. Investiční transfery neziskovým a podobným organizacím",0,-33854923.9
"MMB.Kapitálové výdaje. Investiční transfery. Investiční transfery podnikatelským subjektům",23631889.05,-142133750
"MMB.Kapitálové výdaje. Investiční transfery. Investiční transfery příspěvkovým a podobným organizacím",5417100.43,-174527841.79
"MMB.Kapitálové výdaje. Investiční transfery. Investiční transfery veřejným rozpočtům ústřední úrovně",0,-6e+06
"MMB.Kapitálové výdaje. Nákup akcií a majetkových podílů",0,-282861862.95
"MMB.Kapitálové výdaje. Nákup akcií a majetkových podílů. Nákup akcií a majetkových podílů",0,-282861862.95
"MMB.Nedaňové příjmy",842330745.81,-20825839.84
"MMB.Nedaňové příjmy. Přijaté sankční platby a vratky transferů",79552080.52,-5545958.97
"MMB.Nedaňové příjmy. Přijaté sankční platby a vratky transferů. Přijaté sankční platby",62440648.56,-292596.81
"MMB.Nedaňové příjmy. Přijaté sankční platby a vratky transferů. Přijaté vratky transferů a ostatní příjmy z finančního vypořádání předchozích let",17111431.96,-5253362.16
"MMB.Nedaňové příjmy. Přijaté splátky půjčených prostředků",98243304.38,-269
"MMB.Nedaňové příjmy. Přijaté splátky půjčených prostředků. Splátky půjčených prostředků od obecně prospěšných společností a podobných subjektů",144000,0
"MMB.Nedaňové příjmy. Přijaté splátky půjčených prostředků. Splátky půjčených prostředků od obyvatelstva",11127867.78,-269
"MMB.Nedaňové příjmy. Přijaté splátky půjčených prostředků. Splátky půjčených prostředků od podnikatelských subjektů",2436085.6,0
