,color,id,month,value,year
0,,God.Kapitálové příjmy,1,,2016
0,,God.Kapitálové příjmy.Příjmy z prodeje dlouhodobého majetku a ostatní kapitálové příjmy,1,,2016
0,green,God.Kapitálové příjmy.Příjmy z prodeje dlouhodobého majetku a ostatní kapitálové příjmy.Příjmy z prodeje dlouhodobého majetku (kromě drobného),1,0.0,2016
0,red,God.Kapitálové příjmy.Příjmy z prodeje dlouhodobého majetku a ostatní kapitálové příjmy.Příjmy z prodeje dlouhodobého majetku (kromě drobného),1,462770716.0,2016
0,,God.Přijaté transfery,1,,2016
0,,God.Přijaté transfery.Neinvestiční přijaté transfery,1,,2016
0,green,God.Přijaté transfery.Neinvestiční přijaté transfery.Neinvestiční přijaté transfery od veřejných rozpočtů ústřední úrovně,1,0.0,2016
0,red,God.Přijaté transfery.Neinvestiční přijaté transfery.Neinvestiční přijaté transfery od veřejných rozpočtů ústřední úrovně,1,28094605.0,2016
0,green,God.Přijaté transfery.Neinvestiční přijaté transfery.Neinvestiční přijaté transfery od veřejných rozpočtů územní úrovně,1,0.0,2016
0,red,God.Přijaté transfery.Neinvestiční přijaté transfery.Neinvestiční přijaté transfery od veřejných rozpočtů územní úrovně,1,12356.21,2016
0,green,God.Přijaté transfery.Neinvestiční přijaté transfery.Převody z vlastních fondů,1,1070423.7,2016
0,red,God.Přijaté transfery.Neinvestiční přijaté transfery.Převody z vlastních fondů,1,2599498256.9399996,2016
0,,God.Běžné výdaje,1,,2016
0,,God.Běžné výdaje.Platy a podobné a související výdaje,1,,2016
0,green,God.Běžné výdaje.Platy a podobné a související výdaje.Platy,1,17032037.0,2016
0,red,God.Běžné výdaje.Platy a podobné a související výdaje.Platy,1,201378.0,2016
0,green,God.Běžné výdaje.Platy a podobné a související výdaje.Ostatní platby za provedenou práci,1,3263806.0,2016
0,red,God.Běžné výdaje.Platy a podobné a související výdaje.Ostatní platby za provedenou práci,1,34381.0,2016
0,green,God.Běžné výdaje.Platy a podobné a související výdaje.Povinné pojistné placené zaměstnavatelem,1,7483715.73,2016
0,red,God.Běžné výdaje.Platy a podobné a související výdaje.Povinné pojistné placené zaměstnavatelem,1,14992.2,2016
0,green,God.Běžné výdaje.Platy a podobné a související výdaje.Odměny za užití duševního vlastnictví,1,4114.0,2016
0,red,God.Běžné výdaje.Platy a podobné a související výdaje.Odměny za užití duševního vlastnictví,1,0.0,2016
0,,God.Běžné výdaje.Neinvestiční nákupy a související výdaje,1,,2016
0,green,God.Běžné výdaje.Neinvestiční nákupy a související výdaje.Nákupy materiálu,1,2115248.3099999996,2016
0,red,God.Běžné výdaje.Neinvestiční nákupy a související výdaje.Nákupy materiálu,1,236.0,2016
0,green,God.Běžné výdaje.Neinvestiční nákupy a související výdaje.Úroky a ostatní finanční výdaje,1,533394.41,2016
0,red,God.Běžné výdaje.Neinvestiční nákupy a související výdaje.Úroky a ostatní finanční výdaje,1,0.0,2016
0,green,"God.Běžné výdaje.Neinvestiční nákupy a související výdaje.Nákup vody, paliv a energie",1,10357019.569999997,2016
0,red,"God.Běžné výdaje.Neinvestiční nákupy a související výdaje.Nákup vody, paliv a energie",1,539891.35,2016
0,green,God.Běžné výdaje.Neinvestiční nákupy a související výdaje.Nákup služeb,1,99466309.83999997,2016
0,red,God.Běžné výdaje.Neinvestiční nákupy a související výdaje.Nákup služeb,1,383936.95999999996,2016
0,green,God.Běžné výdaje.Neinvestiční nákupy a související výdaje.Ostatní nákupy,1,8192519.969999999,2016
0,red,God.Běžné výdaje.Neinvestiční nákupy a související výdaje.Ostatní nákupy,1,5205.0,2016
0,green,"God.Běžné výdaje.Neinvestiční nákupy a související výdaje.Poskytnuté zálohy, jistiny, záruky a vládní úvěry",1,1822811.8,2016
0,red,"God.Běžné výdaje.Neinvestiční nákupy a související výdaje.Poskytnuté zálohy, jistiny, záruky a vládní úvěry",1,893603.0,2016
0,green,"God.Běžné výdaje.Neinvestiční nákupy a související výdaje.Výdaje související s neinvestičními nákupy, příspěvky, náhrady a věcné dary",1,720684.6799999999,2016
0,red,"God.Běžné výdaje.Neinvestiční nákupy a související výdaje.Výdaje související s neinvestičními nákupy, příspěvky, náhrady a věcné dary",1,2000.0,2016
0,,God.Běžné výdaje.Neinvestiční transfery soukromoprávním subjektům,1,,2016
0,green,God.Běžné výdaje.Neinvestiční transfery soukromoprávním subjektům.Neinvestiční transfery podnikatelským subjektům,1,145630000.0,2016
0,red,God.Běžné výdaje.Neinvestiční transfery soukromoprávním subjektům.Neinvestiční transfery podnikatelským subjektům,1,0.0,2016
0,green,God.Běžné výdaje.Neinvestiční transfery soukromoprávním subjektům.Neinvestiční transfery neziskovým a podobným organizacím,1,11308889.18,2016
0,red,God.Běžné výdaje.Neinvestiční transfery soukromoprávním subjektům.Neinvestiční transfery neziskovým a podobným organizacím,1,0.0,2016
0,,God.Běžné výdaje.Neinvestiční transfery veřejnoprávním subjektům a mezi peněžními fondy téhož subjektu,1,,2016
0,green,God.Běžné výdaje.Neinvestiční transfery veřejnoprávním subjektům a mezi peněžními fondy téhož subjektu.Neinvestiční transfery veřejným rozpočtům ústřední úrovně,1,0.0,2016
0,red,God.Běžné výdaje.Neinvestiční transfery veřejnoprávním subjektům a mezi peněžními fondy téhož subjektu.Neinvestiční transfery veřejným rozpočtům ústřední úrovně,1,0.0,2016
0,green,God.Běžné výdaje.Neinvestiční transfery veřejnoprávním subjektům a mezi peněžními fondy téhož subjektu.Neinvestiční transfery veřejným rozpočtům územní úrovně,1,7150000.0,2016
0,red,God.Běžné výdaje.Neinvestiční transfery veřejnoprávním subjektům a mezi peněžními fondy téhož subjektu.Neinvestiční transfery veřejným rozpočtům územní úrovně,1,0.0,2016
0,green,God.Běžné výdaje.Neinvestiční transfery veřejnoprávním subjektům a mezi peněžními fondy téhož subjektu.Neinvestiční transfery příspěvkovým a podobným organizacím,1,180902224.0,2016
0,red,God.Běžné výdaje.Neinvestiční transfery veřejnoprávním subjektům a mezi peněžními fondy téhož subjektu.Neinvestiční transfery příspěvkovým a podobným organizacím,1,0.0,2016
0,green,God.Běžné výdaje.Neinvestiční transfery veřejnoprávním subjektům a mezi peněžními fondy téhož subjektu.Převody vlastním fondům,1,4112755769.7400007,2016
0,red,God.Běžné výdaje.Neinvestiční transfery veřejnoprávním subjektům a mezi peněžními fondy téhož subjektu.Převody vlastním fondům,1,1589693751.0,2016
0,green,God.Běžné výdaje.Neinvestiční transfery veřejnoprávním subjektům a mezi peněžními fondy téhož subjektu.Ostatní neinvestiční transfery jiným veřejným rozpočtům,1,1540009.04,2016
0,red,God.Běžné výdaje.Neinvestiční transfery veřejnoprávním subjektům a mezi peněžními fondy téhož subjektu.Ostatní neinvestiční transfery jiným veřejným rozpočtům,1,0.0,2016
0,,God.Běžné výdaje.Neinvestiční transfery obyvatelstvu,1,,2016
0,green,God.Běžné výdaje.Neinvestiční transfery obyvatelstvu.Náhrady placené obyvatelstvu,1,100950.0,2016
0,red,God.Běžné výdaje.Neinvestiční transfery obyvatelstvu.Náhrady placené obyvatelstvu,1,3330.0,2016
0,green,God.Běžné výdaje.Neinvestiční transfery obyvatelstvu.Ostatní neinvestiční transfery obyvatelstvu,1,1585155.95,2016
0,red,God.Běžné výdaje.Neinvestiční transfery obyvatelstvu.Ostatní neinvestiční transfery obyvatelstvu,1,49160.0,2016
0,,God.Běžné výdaje.Neinvestiční transfery do zahraničí,1,,2016
0,green,God.Běžné výdaje.Neinvestiční transfery do zahraničí.Neinvestiční transfery mezinárodním organizacím a nadnárodním orgánům,1,219230.64,2016
0,red,God.Běžné výdaje.Neinvestiční transfery do zahraničí.Neinvestiční transfery mezinárodním organizacím a nadnárodním orgánům,1,0.0,2016
0,,God.Běžné výdaje.Neinvestiční půjčené prostředky,1,,2016
0,green,God.Běžné výdaje.Neinvestiční půjčené prostředky.Neinvestiční půjčené prostředky podnikatelským subjektům,1,0.0,2016
0,red,God.Běžné výdaje.Neinvestiční půjčené prostředky.Neinvestiční půjčené prostředky podnikatelským subjektům,1,0.0,2016
0,green,God.Běžné výdaje.Neinvestiční půjčené prostředky.Neinvestiční půjčené prostředky příspěvkovým a podobným organizacím,1,0.0,2016
0,red,God.Běžné výdaje.Neinvestiční půjčené prostředky.Neinvestiční půjčené prostředky příspěvkovým a podobným organizacím,1,0.0,2016
0,green,God.Běžné výdaje.Neinvestiční půjčené prostředky.Neinvestiční půjčené prostředky obyvatelstvu,1,0.0,2016
0,red,God.Běžné výdaje.Neinvestiční půjčené prostředky.Neinvestiční půjčené prostředky obyvatelstvu,1,0.0,2016
0,,God.Běžné výdaje.Ostatní neinvestiční výdaje,1,,2016
0,green,God.Běžné výdaje.Ostatní neinvestiční výdaje.Ostatní neinvestiční výdaje,1,37509257.8,2016
0,red,God.Běžné výdaje.Ostatní neinvestiční výdaje.Ostatní neinvestiční výdaje,1,28772726.83,2016
0,,God.Kapitálové výdaje,1,,2016
0,,God.Kapitálové výdaje.Investiční nákupy a související výdaje,1,,2016
0,green,God.Kapitálové výdaje.Investiční nákupy a související výdaje.Pořízení dlouhodobého nehmotného majetku,1,0.0,2016
